Project_ID,Project_Type,Location,Start_Date,End_Date,Planned_Cost,Actual_Cost,Cost_Overrun,Planned_Duration,Actual_Duration,Schedule_Deviation,Vibration_Level,Crack_Width,Load_Bearing_Capacity,Temperature,Humidity,Weather_Condition,Air_Quality_Index,Energy_Consumption,Material_Usage,Labor_Hours,Equipment_Utilization,Accident_Count,Safety_Risk_Score,Image_Analysis_Score,Anomaly_Detected,Completion_Percentage,Risk_Level
PJT_1,Tunnel,Houston,2020-01-01,2021-05-25,10364231,13771018.91,3406787.91,461,510.79,49.79,1.3857,4.4609,89.12,13.21,22.09,Cloudy,109,27740.99,123.88,4257,82.96,8,4.78,72.46,1,88.24,High
PJT_2,Dam,New York,2020-01-01,2021-08-18,15449461,22744518.77,7295057.77,528,595.27,67.27,0.7395,0.4637,93.52,36.61,62.26,Snowy,236,25674.12,212.34,7201,44.73,4,8.46,80.93,0,61.96,High
PJT_3,Tunnel,Houston,2020-01-02,2022-06-17,20420497,30434585.97,10014088.97,857,897.79,40.79,1.7251,4.3324,221.06,14.94,78.39,Cloudy,144,20987.18,703.16,2169,76.55,2,5.81,62.24,1,34.30,High
PJT_4,Bridge,Seattle,2020-01-03,2022-09-01,4753932,4748613.52,-5318.48,881,972.87,91.87,0.1610,1.5773,170.48,1.60,86.00,Sunny,104,34494.74,456.07,8517,48.57,2,3.22,78.07,0,62.61,Medium
PJT_5,Bridge,New York,2020-01-04,2021-08-12,10283286,12146536.09,1863250.09,550,586.24,36.24,0.2727,0.2356,99.34,24.51,75.45,Rainy,202,7858.75,443.46,8668,71.75,8,8.75,50.57,1,71.35,High
PJT_6,Bridge,Los Angeles,2020-01-05,2022-07-29,20696460,23440757.05,2744297.05,836,936.29,100.29,0.9621,4.7691,444.13,4.49,55.04,Cloudy,179,46068.25,883.47,5889,90.50,8,6.48,57.64,1,58.54,High
PJT_7,Bridge,Houston,2020-01-06,2022-06-08,2307062,2128758.46,-178303.54,793,884.80,91.80,0.7897,4.9266,413.05,3.17,36.86,Stormy,292,8544.07,758.72,2133,98.68,8,7.89,56.42,1,59.48,High
PJT_8,Building,Chicago,2020-01-07,2022-08-09,15213536,22117343.86,6903807.86,801,945.26,144.26,1.5350,3.4493,370.83,11.94,67.02,Sunny,162,45482.63,506.34,5061,53.48,5,1.19,77.70,0,10.65,High
PJT_9,Tunnel,Seattle,2020-01-08,2021-10-17,23174680,20765840.67,-2408839.33,249,648.87,399.87,0.5522,3.3449,146.41,-2.72,85.49,Stormy,197,26270.20,806.16,7669,51.42,1,6.93,67.71,0,87.75,High
PJT_10,Tunnel,Houston,2020-01-09,2021-01-18,23770212,32574345.11,8804133.11,242,375.39,133.39,0.3076,0.9580,291.33,-2.29,32.84,Rainy,113,44351.87,167.85,2604,43.04,8,8.52,98.45,1,86.38,High
